key;catala;español;english
desc_exigència;cat_desc107;esp_desc107;eng_desc106
desc_comunitat;cat_desc108;esp_desc108;eng_desc107
desc_cooperació;cat_desc109;esp_desc109;eng_desc108
desc_solidaritat;cat_desc110;esp_desc110;eng_desc109
desc_resistència;cat_desc111;esp_desc111;eng_desc110
desc_mobilització;cat_desc112;esp_desc112;eng_desc111
desc_reivindicació;cat_desc113;esp_desc113;eng_desc112
desc_desnonament;cat_desc114;esp_desc114;eng_desc113
desc_responsabilitat;cat_desc115;esp_desc115;eng_desc114
desc_accessibilitat;cat_desc116;esp_desc116;eng_desc115
desc_sostenibilitat;cat_desc117;esp_desc117;eng_desc116
desc_manifestació;cat_desc118;esp_desc118;eng_desc117
desc_desigualtat;cat_desc119;esp_desc119;eng_desc118
desc_mag;cat_desc122;esp_desc122;eng_desc119
desc_ball;cat_desc123;esp_desc123;eng_desc120
desc_circ;cat_desc125;esp_desc125;eng_desc121
desc_jocs;cat_desc126;esp_desc126;eng_desc122
desc_festa;cat_desc127;esp_desc127;eng_desc123
desc_fotre;cat_desc128;esp_desc128;eng_desc124
desc_dansa;cat_desc129;esp_desc129;eng_desc125
desc_xerra;cat_desc130;esp_desc130;eng_desc126
desc_salta;cat_desc131;esp_desc131;eng_desc127
desc_xalar;cat_desc132;esp_desc132;eng_desc128
desc_canya;cat_desc133;esp_desc133;eng_desc129
desc_ritme;cat_desc134;esp_desc134;eng_desc130
desc_música;cat_desc135;esp_desc135;eng_desc131
desc_xafogor;cat_desc136;esp_desc136;eng_desc132
desc_xarnego;cat_desc137;esp_desc137;eng_desc133
desc_festeig;cat_desc138;esp_desc138;eng_desc134
desc_melodia;cat_desc139;esp_desc139;eng_desc135
desc_xerinola;cat_desc140;esp_desc140;eng_desc136
desc_carnaval;cat_desc141;esp_desc141;eng_desc137
desc_malabars;cat_desc142;esp_desc142;eng_desc138
desc6;cat_desc143;esp_desc143;eng_desc139
desc7;cat_desc144;esp_desc144;eng_desc140
desc8;cat_desc145;esp_desc145;eng_desc141
desc9;cat_desc146;esp_desc146;eng_desc142
desc10;cat_desc147;esp_desc147;eng_desc143
desc11;cat_desc148;esp_desc148;eng_desc144
desc12;cat_desc149;esp_desc149;eng_desc145
desc13;cat_desc150;esp_desc150;eng_desc146
desc14;cat_desc151;esp_desc151;eng_desc147
desc15;cat_desc152;esp_desc152;eng_desc148
desc16;cat_desc153;esp_desc153;eng_desc149
desc17;cat_desc154;esp_desc154;eng_desc150
desc33;cat_desc155;esp_desc155;eng_desc151
desc34;cat_desc156;esp_desc156;eng_desc152
desc35;cat_desc157;esp_desc157;eng_desc153
desc36;cat_desc158;esp_desc158;eng_desc154
desc37;cat_desc159;esp_desc159;eng_desc155
desc38;cat_desc160;esp_desc160;eng_desc156
desc39;cat_desc161;esp_desc161;eng_desc157
